1|Novi Sad|Srbija
2|Beograd|Srbija
3|Niš|Srbija
4|Subotica|Srbija
5|Kragujevac|Srbija
6|Leskovac|Srbija
7|Zrenjanin|Srbija
8|Kraljevo|Srbija
9|Valjevo|Srbija
10|Kruševac|Srbija
11|Smederevo|Srbija
12|Novi Pazar|Srbija
13|Venecija|Italija
14|Lido Di Jesolo|Italija
15|Milano|Italija
16|Firenca|Italija
17|Rim|Italija
18|Napulj|Italija
19|San Marino|San Marino
20|Sicilija|Italija
21|Sevilja|Španija
22|Madrid|Španija
23|Barselona|Španija
24|Pariz|Francuska
25|Marsej|Francuska
26|Nica|Francuska
27|Solun|Grčka
28|Atina|Grčka
29|Krf|Grčka
30|Mikonos|Grčka
31|Santorini|Grčka
32|Vatikan|Italija
33|Lisabon|Portugal
34|Istanbul|Turska
35|Amsterdam|Holandija
36|Berlin|Nemačka
37|Lion|Francuska
38|Beč|Austrija
39|Moskva|Rusija
40|Sankt Peterburg|Rusija
41|Prag|Češka
42|Budimpešta|Madjarska
43|Segedin|Madjarska
44|Temišvar|Rumunija
45|Bratislava|Slovačka
46|Sofija|Bugarska
47|Bukurešt|Rumunija
48|Ženeva|Švajcarska
49|Bern|Švajcarska
50|Zagreb|Hrvatska
51|Split|Hrvatska
52|Banja Luka|BiH
53|Sarajevo|BiH
54|Mostar|BiH
55|Herceg Novi|Crna Gora
56|Podgorica|Crna Gora
57|Tivat|Crna Gora
58|Ankara|Turska
59|Kapadokija|Turska
60|Tara|Srbija
61|Floraville|Brasil
62|Timberland|Rumunija
63|Azurna obala|Hrvatska
64|Fruška gora|Srbija
65|Vrdnik|Srbija
